010010,内蒙古自治区,呼和浩特市,新城区
010011,内蒙古自治区,呼和浩特市,新城区
010020,内蒙古自治区,呼和浩特市,新城区
010030,内蒙古自治区,呼和浩特市,新城区
010031,内蒙古自治区,呼和浩特市,赛罕区
010050,内蒙古自治区,呼和浩特市,新城区
010051,内蒙古自治区,呼和浩特市,新城区
010052,内蒙古自治区,呼和浩特市,新城区
010060,内蒙古自治区,呼和浩特市,新城区
010070,内蒙古自治区,呼和浩特市,新城区
010072,内蒙古自治区,呼和浩特市,新城区
010080,内蒙古自治区,呼和浩特市,新城区
010100,内蒙古自治区,呼和浩特市,土默特左旗
010105,内蒙古自治区,呼和浩特市,土默特左旗
010107,内蒙古自治区,呼和浩特市,土默特左旗
010108,内蒙古自治区,呼和浩特市,土默特左旗
010109,内蒙古自治区,呼和浩特市,土默特左旗
010110,内蒙古自治区,呼和浩特市,土默特左旗
010111,内蒙古自治区,呼和浩特市,土默特左旗
010112,内蒙古自治区,呼和浩特市,土默特左旗
010113,内蒙古自治区,呼和浩特市,土默特左旗
010114,内蒙古自治区,呼和浩特市,土默特左旗
010115,内蒙古自治区,呼和浩特市,土默特左旗
010200,内蒙古自治区,呼和浩特市,托克托县
010205,内蒙古自治区,呼和浩特市,托克托县
010206,内蒙古自治区,呼和浩特市,托克托县
010207,内蒙古自治区,呼和浩特市,托克托县
010208,内蒙古自治区,呼和浩特市,托克托县
010209,内蒙古自治区,呼和浩特市,托克托县
010300,内蒙古自治区,鄂尔多斯市,准格尔旗
010308,内蒙古自治区,鄂尔多斯市,准格尔旗
010316,内蒙古自治区,鄂尔多斯市,准格尔旗
010317,内蒙古自治区,鄂尔多斯市,准格尔旗
010318,内蒙古自治区,鄂尔多斯市,准格尔旗
010319,内蒙古自治区,鄂尔多斯市,准格尔旗
010321,内蒙古自治区,鄂尔多斯市,准格尔旗
010322,内蒙古自治区,鄂尔多斯市,准格尔旗
010323,内蒙古自治区,鄂尔多斯市,准格尔旗
010324,内蒙古自治区,鄂尔多斯市,鄂托克旗
010400,内蒙古自治区,鄂尔多斯市,准格尔旗
010406,内蒙古自治区,鄂尔多斯市,准格尔旗
010411,内蒙古自治区,鄂尔多斯市,准格尔旗
010412,内蒙古自治区,鄂尔多斯市,准格尔旗
010415,内蒙古自治区,鄂尔多斯市,准格尔旗
011100,内蒙古自治区,锡林郭勒盟,二连浩特市
011200,内蒙古自治区,锡林郭勒盟,苏尼特右旗
011207,内蒙古自治区,锡林郭勒盟,苏尼特右旗
011209,内蒙古自治区,锡林郭勒盟,苏尼特右旗
